,ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
67,2010-08,10608.0,31710.0,24252.0,29115.0,47112.0,39360.0,90336.0,104250.0,38568.0,22500,35328.0,23700.0,117984.0,65730.0,72120.0,76920.0,33024.0,35340.0,30768.0,35340.0,30768.0,28380.0,7176.0,4380.0,19808.0,5490.0,5952.0,5040.0,72.0,90.0,912.0,690.0
68,2010-09,36216.0,62430.0,24600.0,30765.0,85464.0,88170.0,151944.0,153750.0,45048.0,22830,27216.0,18330.0,201696.0,113880.0,160744.0,101610.0,301896.0,23550.0,67680.0,23550.0,67680.0,36060.0,1608.0,9030.0,4752.0,5340.0,16608.0,6990.0,0.0,0.0,1560.0,480.0
69,2010-10,46032.0,46980.0,44136.0,39540.0,55776.0,50760.0,201696.0,196020.0,27072.0,20520,55296.0,29010.0,75480.0,99900.0,163224.0,103860.0,16488.0,16290.0,47184.0,16290.0,47184.0,30690.0,2664.0,6570.0,3939.6,7320.0,11784.0,9630.0,2688.0,1920.0,1128.0,180.0
70,2010-11,47136.0,78090.0,31584.0,38460.0,78432.0,89850.0,206928.0,174420.0,18600.0,14670,80640.0,46050.0,77200.0,55290.0,225864.0,83910.0,21264.0,17130.0,56280.0,17130.0,56280.0,29730.0,10944.0,13440.0,5568.0,5250.0,20792.0,13530.0,720.0,1320.0,936.0,480.0
71,2010-12,14592.0,43230.0,24936.0,29130.0,45504.0,48210.0,295992.0,234630.0,18192.0,14370,43080.0,26790.0,80872.0,27330.0,202680.0,46740.0,46608.0,10950.0,96504.0,10950.0,96504.0,29880.0,624.0,6450.0,3768.0,810.0,8160.0,2850.0,96.0,60.0,2352.0,960.0
72,2011-01,42360.0,32160.0,55008.0,31950.0,101040.0,87180.0,283416.0,232080.0,26784.0,17250,47928.0,36570.0,47016.0,27540.0,195048.0,143730.0,30384.0,30570.0,62640.0,30570.0,62640.0,53280.0,4120.0,15330.0,1824.0,5370.0,15360.0,10470.0,624.0,420.0,7296.0,1740.0
73,2011-02,12864.0,43860.0,19512.0,37680.0,41832.0,58860.0,87024.0,116970.0,19056.0,15030,50472.0,28590.0,69312.0,71670.0,74328.0,51480.0,8976.0,27090.0,64032.0,27090.0,64032.0,40410.0,4032.0,4320.0,2736.0,2700.0,5208.0,4170.0,96.0,60.0,5376.0,2550.0
74,2011-03,44592.0,59700.0,27456.0,57870.0,89136.0,55140.0,247800.0,181320.0,79200.0,34800,91488.0,39660.0,57120.0,43860.0,248064.0,117360.0,18648.0,19980.0,73224.0,19980.0,73224.0,44040.0,5184.0,6330.0,792.0,600.0,9528.0,4350.0,96.0,60.0,2400.0,3090.0
75,2011-04,79512.0,25320.0,23280.0,27930.0,58968.0,45390.0,96144.0,84420.0,12264.0,27390,23544.0,25260.0,57576.0,41910.0,133200.0,62220.0,30936.0,13380.0,71280.0,13380.0,71280.0,49230.0,744.0,12660.0,13056.0,3600.0,7200.0,7800.0,408.0,0.0,2832.0,420.0
76,2011-05,93936.0,74670.0,28200.0,29130.0,84624.0,67500.0,225360.0,140190.0,9888.0,9120,11760.0,12960.0,38592.0,36120.0,50648.0,81060.0,76272.0,12180.0,24384.0,12180.0,24384.0,27330.0,1392.0,9510.0,24.0,5910.0,7992.0,4920.0,0.0,510.0,1848.0,1410.0
77,2011-06,8232.0,37080.0,31056.0,30390.0,22608.0,39180.0,199380.0,131895.0,8088.0,10830,36204.0,26205.0,15408.0,20400.0,59148.0,51555.0,27360.0,32040.0,38940.0,32040.0,38940.0,20085.0,696.0,3630.0,1392.0,2550.0,53544.0,9240.0,144.0,60.0,96.0,120.0
78,2011-07,14928.0,34830.0,42944.0,54480.0,33024.0,62640.0,331592.0,160560.0,26424.0,6210,25632.0,23280.0,51960.0,34290.0,61464.0,42630.0,9744.0,13260.0,57624.0,13260.0,57624.0,21720.0,1320.0,3330.0,288.0,360.0,22536.0,6330.0,0.0,0.0,0.0,0.0
79,2011-08,21024.0,46770.0,24728.0,30900.0,46248.0,58140.0,109720.0,141270.0,10728.0,9870,33912.0,15030.0,37008.0,32790.0,68136.0,47670.0,318325.8,24240.0,37680.0,24240.0,37680.0,20670.0,576.0,4440.0,34776.0,9210.0,10584.0,16080.0,5328.0,540.0,984.0,1230.0
