aaaammdd	v25C	v3K	3KRL 	v3KPD	v3K4	v3K4-1	v3KS24	3KSN8	vP100	vP80	vPEBD	vPPCE	vPPE	vPPH	vPPIBO	vPPR	vPVC	vPVC5C	vPVCC	vPVCR	PVCBR	vTotalTon	vTotalCCarga	vTotal3K	vTotalPressao	vTotalPVC	vTotalPP	vTotalPE
01/10/2016	360,27736	111,202404	0	23,655054	2,827392	8,341632	27,021312	0	140,666872	13,8754	0,238	302,150256	8,763765	0	18,081672	3,170712	87,574395	212,762538	0	0	0	1320,608764	360,27736	173,047794	300,336933	833,662087	328,995693	154,780272
01/11/2016	444,6923522	157,784935	0	43,383842	8,09856	0	29,328246	0	164,845026	7,4857	0	313,194476	2,181564	8,7516	19,5784096	27,900116	70,886328	279,772608	0	0	0	1577,883763	444,6923522	238,595583	350,658936	1033,946871	334,9544496	172,330726
01/12/2016	261,505868	114,351415	0	19,935235	0	11,79171	17,148582	0	88,2835515	3,4978	1,146	273,103197	1,974453	0	12,152904	18,84476	62,48062	195,199782	0,0000468	4,00464	0	1085,420564	261,505868	163,226942	261,6850888	686,4178988	287,230554	92,9273515
01/01/2017	606,233674	154,763825	0	22,738264	19,436544	14,54103	39,20157	0	120,974308	12,28675	0,678	443,358066	0,945822	0	26,61396	2,85048	134,170591	314,32452	0,0000612	0	0	1913,117465	606,233674	250,681233	448,4951722	1305,410079	470,917848	133,939058
01/02/2017	352,915691	164,446126	0	21,073394	1,079808	4,507848	39,15285	0	129,772054	7,1982	0,986	312,625344	0,402699	0	17,582478	6,279988	93,40762285	282,2152545	0	0	0	1433,645357	352,915691	230,260026	375,6228774	958,7985944	330,610521	137,956254
01/03/2017	432,436604	217,213425	0	26,990978	0,539904	13,14531	14,279178	0	127,744272	12,6464	0,187	401,999256	2,643204	0	18,878142	7,11316	104,188023	311,067438	0	0	0	1691,072294	432,436604	272,168795	415,255461	1119,86086	423,520602	140,577672
01/04/2017	287,701599	115,47046	0	19,566815	5,39904	7,8552	16,604958	0	114,480186	10,7284	0,4925	293,348364	1,758948	0	11,14233	6,967192	76,409344	382,67097	0	0	0	1350,596306	287,701599	164,896473	459,080314	911,678386	306,249642	125,701086
01/05/2017	459,436308	194,766139	0	25,7958535	0	7,501692	25,56024	0	190,990376	14,8731	1,004	387,550182	2,267178	0	32,671746	15,93688	148,3248296	295,486772	0	1,03824	0	1803,203536	459,436308	253,6239245	444,8498416	1157,910074	422,489106	206,867476
01/06/2017	420,366704	114,32079	0	21,338255	0	3,676392	14,993286	0	149,049342	7,6715	1,137	320,900268	2,65857	0	20,99763	14,53478	129,09843	202,315662	0	0	0	1423,058609	420,366704	154,328723	331,414092	906,109519	344,556468	157,857842
01/07/2017	356,473205	138,617265	0	29,3183635	0	2,994768	16,786644	0	235,226966	9,6198	0,0055	312,448812	1,111794	0	19,309752	1,8636	115,620847	293,65407	0	1,206913	0	1534,2583	356,473205	187,7170405	410,48183	954,6720755	332,870358	244,852266
01/08/2017	239,46315	74,970669	0	13,616265	6,478848	0	7,10799	0	97,636202	4,4035	1,116	181,829292	0,037578	0	14,666988	4,536964	68,942998	164,610552	0	0	0	879,416996	239,46315	102,173772	233,55355	575,190472	196,533858	103,155702
01/09/2017	403,2554356	141,422464	0	23,423438	1,079808	2,47365	28,341864	0	179,070178	8,3054	0,5635	341,394966	2,731908	0	22,288482	2,973792	98,625003	223,020162	0,0000612	0,66744	0	1479,637552	403,2554356	196,741224	322,3126662	922,3093258	366,415356	187,375578
01/10/2017	396,596058	122,264588	0	17,425405	12,957696	8,27367	28,641882	0	236,1540895	13,9811	0,0472	354,545477	0,068676	0	29,80479	22,143816	94,662026	338,97621	0	3,3372	0	1679,879884	396,596058	189,563241	436,975436	1023,134735	384,418943	250,1351895
01/11/2017	404,908103	126,701034	0	33,0929075	12,957696	9,42624	45,064302	0	179,9628025	8,7712	0,044	328,56726	1,796808	0	23,795916	2,29069	103,254923	272,06052	0	2,00232	0	388,378892	404,908103	227,2421795	377,317763	1009,468046	354,159984	188,7340025
01/12/2017	270,610594	93,49772	0	22,192224	0	5,04462	16,240704	0	126,442196	12,4184	0	246,543072	0,737397	12,4488	12,400416	7,315384	72,485116	152,52396	0,0000774	2,00232	0	1052,903	270,610594	136,975268	227,0114734	634,5973354	259,680885	138,860596
01/01/2018	477,469225	133,684373	0	28,412128	6,478848	7,22088	29,119092	0	130,832638	7,337	0,07	387,826806	1,082049	0	25,785444	7,018176	121,36163	172,29318	0	0	0	1535,991469	477,469225	204,915321	293,65481	976,039356	413,61225	138,169638
01/02/2018	365,7088426	126,3696304	0	16,9055966	0	1,80522	16,358838	0	125,466938	4,9089	1,0305	330,214152	0,774381	0	21,29859	19,456172	129,867546	324,371018	0,0000936	0	0	1484,536418	365,7088426	161,439285	454,2386576	981,3867852	352,287123	130,375838
01/03/2018	418,088612	107,649672	0	18,3997335	0	5,30697	20,240172	0	182,712726	9,7424	0,55	256,66128	2,015208	0	17,996544	8,37712	133,247235	239,608956	0	9,8942292	0	1430,490858	418,088612	151,5965475	382,7504202	952,4355797	276,673032	192,455126
