ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
2014-01,64896,60030,62952,38070,23472,32730,702529,164250,8856,9960,33600,24570,9240,9810,88540,49470,4176,4980,23930,4980,23930,19440,720,6900,504,90,2390,3930,0,0,744,1230
2014-02,34344,33750,18624,15930,35688,37140,90720,158057,6192,7020,11760,24360,13248,12720,53532,61442,5496,5160,10704,5160,10704,15677,816,3137,192,720,6624,11477,0,0,3576,4710
2014-03,32448,39090,25080,18300,41808,46830,79608,129210,10584,13470,17544,27990,19344,21450,69252,63450,4632,6900,32772,6900,32772,27060,912,4260,0,0,6936,5010,0,0,4512,1920
2014-04,46440,52950,24744,32550,25248,35370,53952,110190,4224,5040,36600,18270,11088,15570,39924,42173,2664,3060,50136,3060,50136,26295,960,4650,0,0,5424,6480,48,60,7992,2250
2014-05,119712,50940,47400,54780,98112,52920,80496,171870,18168,13620,24720,36270,32112,30540,51876,66345,11592,12210,26328,12210,26328,33180,1728,2250,1656,240,5928,3180,0,0,816,1680
2014-06,29712,72180,37344,47070,21240,64680,170392,182520,7776,12990,48672,27090,12936,19830,50016,42975,6768,8940,30924,8940,30924,24630,24,4680,384,480,7272,4620,0,0,3216,1680
2014-07,35448,62160,43704,49980,37608,38550,85344,155370,10296,11880,13872,20430,23232,19350,69228,59805,3072,3810,7272,3810,7272,25575,864,6780,408,2340,3576,6900,0,0,3840,4890
2014-08,12096,38400,16752,29640,14904,31740,76512,49530,7008,9030,16872,9000,9984,14070,25416,37875,3432,3030,7212,3030,7212,9900,768,2880,432,300,1728,3660,48,0,960,3690
2014-09,49536,54090,17256,23070,37272,48150,81384,195510,4392,7230,18576,33690,21312,22710,57648,64695,12336,12630,32220,12630,32220,24225,672,6060,144,420,5112,9630,96,0,3144,2250
2014-10,50184,61500,32280,36150,36192,41820,74601,173880,11640,14280,41001,26430,18144,22560,50724,47235,5040,6180,44256,6180,44256,34590,984,7740,1056,600,7320,6840,0,60,792,1290
2014-11,63576,63450,43408,35610,60264,53520,273840,135300,10920,8220,25944,32520,30576,24960,66320,65580,7992,7740,26872,7740,26872,19680,1920,9840,432,360,2544,2160,48,60,2832,2400
2014-12,33728,40200,48600,34620,23208,29220,176540,82235,6264,7590,40756,22595,20232,21030,25038,22145,1896,4440,20678,4440,20678,16870,3600,2820,2112,3180,5904,4680,0,0,4176,3840
2015-01,37800,48840,53064,56940,39864,48120,179024,208230,7152,10170,15168,19140,23664,36510,46904,53040,3912,4980,14088,4980,14088,17940,3744,5340,408,0,3456,5100,240,0,2664,2430
2015-02,55968,62910,47906,35670,22056,28350,511680,227010,6552,8070,36600,17730,9132,10815,68210,37965,5496,7020,52572,7020,52572,14190,144,6270,408,900,6624,3990,96,300,4512,1950
2015-03,53904,52710,93432,43860,48168,53490,358412,282425,13032,15000,86232,42270,17496,17730,132052,73085,4776,5160,36960,5160,36960,27585,2496,1920,528,660,12024,9780,48,60,2304,2880
2015-04,71544,84210,59952,39690,39096,25290,386632,253890,16056,10290,20880,27840,13992,18000,43876,59385,9072,9900,23196,9900,23196,18655,456,4860,384,480,5736,5700,0,0,5616,1710
2015-05,72024,64560,51960,55470,100296,40470,182490,289410,7824,8610,24576,33960,17520,11250,106502,63015,7080,5250,32048,5250,32048,37610,2400,2310,960,240,2784,2340,0,0,528,1680
2015-06,20352,44430,37744,34080,38640,43290,238056,104852,5904,8040,14904,26638,2808,7830,30804,46800,3408,3960,9816,3960,9816,18450,672,2760,0,960,1872,2640,24,30,360,720
2015-07,61368,53370,18336,16710,51480,28500,193320,142680,3480,3810,54989,25362,8568,10020,75775,58043,3840,7080,63020,7080,63020,48920,1008,9540,96,120,7368,6270,0,0,4824,4650
2015-08,34368,42150,13272,16590,8400,23280,58368,114660,4992,4920,12912,34650,7128,7440,16656,24000,3480,2190,4872,2190,4872,13770,528,1500,384,0,840,1770,0,0,648,1590
2015-09,51480,72870,32976,28950,51432,50670,174448,159120,10920,10350,54864,34950,17664,17670,61236,49965,22512,19590,23496,19590,23496,15640,2568,3030,1128,1620,1752,1170,480,600,792,150
2015-10,43920,47640,29352,34530,35376,38400,126264,143730,5232,5820,23592,27540,10632,16560,60624,51540,2064,9990,35688,9990,35688,36967,696,4710,0,0,4608,4290,0,0,4128,3180
2015-11,47400,65490,22800,22140,25872,30750,173796,174510,4320,4560,16680,18270,20724,14835,115020,95295,6600,4770,18072,4770,18072,17400,624,1920,408,510,3336,1830,0,0,96,90
2015-12,33408,37680,22632,34710,11280,19530,124824,90690,6672,9780,30312,37380,2088,9210,67888,55860,7056,8790,17448,8790,17448,13470,504,3900,0,0,3720,4230,0,0,1368,60
2016-01,46152,56190,15192,17460,25152,27720,91896,99630,4464,3180,52000,27990,10440,13710,59340,51495,1800,1170,21456,1170,21456,21720,456,5130,0,0,1104,2520,0,0,1032,750
